Date,Time,Camera,Detection,Confidence
2026-06-30,11:07:25,Floor-1 Laptop-cam0,smoke,0.29
2026-06-30,11:07:26,Floor-1 Laptop-cam0,smoke,0.29
2026-06-30,11:07:27,Floor-1 Laptop-cam0,smoke,0.36
2026-06-30,11:07:31,Floor-1 Laptop-cam0,smoke,0.29
2026-06-30,11:07:32,Floor-1 Laptop-cam0,smoke,0.29
2026-06-30,11:07:33,Floor-1 Laptop-cam0,smoke,0.26
2026-06-30,11:07:35,Floor-1 Laptop-cam0,smoke,0.29
2026-06-30,11:07:38,Floor-1 Laptop-cam0,smoke,0.32
2026-06-30,11:07:39,Floor-1 Laptop-cam0,smoke,0.32
2026-06-30,11:07:40,Floor-1 Laptop-cam0,smoke,0.29
2026-06-30,11:07:41,Floor-1 Laptop-cam0,smoke,0.28
2026-06-30,11:07:58,Floor-1 Laptop-cam0,smoke,0.44
2026-06-30,11:08:02,Floor-1 Laptop-cam0,smoke,0.35
2026-06-30,11:08:17,Floor-1 Laptop-cam0,smoke,0.28
2026-06-30,11:08:18,Floor-1 Laptop-cam0,smoke,0.30
2026-06-30,11:08:19,Floor-1 Laptop-cam0,smoke,0.34
2026-06-30,11:08:20,Floor-1 Laptop-cam0,smoke,0.29
2026-06-30,11:08:21,Floor-1 Laptop-cam0,smoke,0.30
2026-06-30,11:08:22,Floor-1 Laptop-cam0,smoke,0.35
2026-06-30,11:08:23,Floor-1 Laptop-cam0,smoke,0.27
2026-06-30,11:08:24,Floor-1 Laptop-cam0,smoke,0.30
2026-06-30,11:08:25,Floor-1 Laptop-cam0,smoke,0.51
2026-06-30,11:09:05,Floor-1 Laptop-cam0,smoke,0.40
2026-06-30,11:09:06,Floor-1 Laptop-cam0,smoke,0.32
2026-06-30,11:09:07,Floor-1 Laptop-cam0,smoke,0.44
2026-06-30,11:09:08,Floor-1 Laptop-cam0,smoke,0.38
2026-06-30,11:09:09,Floor-1 Laptop-cam0,smoke,0.45
2026-06-30,11:09:10,Floor-1 Laptop-cam0,smoke,0.30
2026-06-30,11:09:13,Floor-1 Laptop-cam0,smoke,0.27
2026-06-30,11:09:14,Floor-1 Laptop-cam0,smoke,0.29
2026-06-30,11:09:16,Floor-1 Laptop-cam0,smoke,0.50
2026-06-30,11:09:17,Floor-1 Laptop-cam0,smoke,0.26
2026-06-30,11:09:18,Floor-1 Laptop-cam0,smoke,0.27
2026-06-30,11:09:19,Floor-1 Laptop-cam0,smoke,0.35
2026-06-30,11:09:20,Floor-1 Laptop-cam0,smoke,0.33
2026-06-30,11:09:24,Floor-1 Laptop-cam0,smoke,0.46
2026-06-30,11:09:25,Floor-1 Laptop-cam0,smoke,0.52
2026-06-30,11:09:26,Floor-1 Laptop-cam0,smoke,0.42
2026-06-30,11:09:27,Floor-1 Laptop-cam0,smoke,0.42
2026-06-30,11:09:28,Floor-1 Laptop-cam0,smoke,0.36
2026-06-30,11:09:30,Floor-1 Laptop-cam0,smoke,0.40
2026-06-30,11:09:31,Floor-1 Laptop-cam0,smoke,0.42
2026-06-30,11:09:32,Floor-1 Laptop-cam0,smoke,0.55
2026-06-30,11:09:33,Floor-1 Laptop-cam0,smoke,0.54
2026-06-30,11:09:37,Floor-1 Laptop-cam0,smoke,0.45
2026-06-30,11:09:47,Floor-1 Laptop-cam0,smoke,0.36
2026-06-30,11:09:48,Floor-1 Laptop-cam0,smoke,0.29
2026-06-30,11:10:02,Floor-1 Laptop-cam0,fire,0.26
2026-06-30,11:10:06,Floor-1 Laptop-cam0,fire,0.26
2026-06-30,11:10:18,Floor-1 Laptop-cam0,fire,0.34
2026-06-30,11:10:23,Floor-1 Laptop-cam0,smoke,0.26
2026-06-30,11:10:24,Floor-1 Laptop-cam0,smoke,0.32
2026-06-30,11:10:25,Floor-1 Laptop-cam0,smoke,0.28
2026-06-30,11:10:28,Floor-1 Laptop-cam0,smoke,0.26
2026-06-30,11:10:38,Floor-1 Laptop-cam0,smoke,0.41
2026-06-30,11:10:55,Floor-1 Laptop-cam0,smoke,0.32
2026-06-30,11:10:56,Floor-1 Laptop-cam0,smoke,0.59
2026-06-30,11:11:25,Floor-1 Laptop-cam0,smoke,0.34
2026-06-30,11:12:13,Floor-1 Laptop-cam0,smoke,0.65
2026-06-30,11:12:15,Floor-1 Laptop-cam0,smoke,0.47
2026-06-30,11:12:16,Floor-1 Laptop-cam0,smoke,0.46
2026-06-30,11:12:17,Floor-1 Laptop-cam0,smoke,0.62
2026-06-30,11:12:18,Floor-1 Laptop-cam0,smoke,0.72
2026-06-30,11:12:19,Floor-1 Laptop-cam0,smoke,0.27
2026-06-30,11:14:55,Floor-1 Laptop-cam0,smoke,0.36
2026-06-30,11:15:03,Floor-1 Laptop-cam0,smoke,0.26
2026-06-30,11:15:03,Floor-1 Laptop-cam0,fire,0.43
2026-06-30,11:15:04,Floor-1 Laptop-cam0,smoke,0.41
2026-06-30,11:15:07,Floor-1 Laptop-cam0,smoke,0.34
2026-06-30,11:15:09,Floor-1 Laptop-cam0,smoke,0.38
2026-06-30,11:15:25,Floor-1 Laptop-cam0,smoke,0.28
2026-06-30,14:36:12,Floor-1 Laptop-cam0,smoke,0.37
2026-06-30,14:36:45,Floor-1 Laptop-cam0,smoke,0.33
2026-06-30,14:36:55,Floor-1 Laptop-cam0,smoke,0.25
2026-06-30,14:37:01,Floor-1 Laptop-cam0,smoke,0.34
2026-06-30,14:37:23,Floor-1 Laptop-cam0,smoke,0.34
2026-06-30,14:37:39,Floor-1 Laptop-cam0,smoke,0.68
2026-06-30,14:37:39,Floor-1 Laptop-cam0,fire,0.50
2026-06-30,14:37:40,Floor-1 Laptop-cam0,fire,0.69
2026-06-30,14:37:41,Floor-1 Laptop-cam0,fire,0.73
2026-06-30,14:37:42,Floor-1 Laptop-cam0,fire,0.65
2026-06-30,14:37:53,Floor-1 Laptop-cam0,smoke,0.31
2026-06-30,14:38:00,Floor-1 Laptop-cam0,smoke,0.31
2026-06-30,14:38:02,Floor-1 Laptop-cam0,smoke,0.26
2026-06-30,14:38:04,Floor-1 Laptop-cam0,smoke,0.33
2026-06-30,14:38:18,Floor-1 Laptop-cam0,smoke,0.30
2026-06-30,14:38:34,Floor-1 Laptop-cam0,smoke,0.29
2026-06-30,14:38:44,Floor-1 Laptop-cam0,smoke,0.35
2026-06-30,14:39:11,Floor-1 Laptop-cam0,smoke,0.51
2026-06-30,14:39:17,Floor-1 Laptop-cam0,smoke,0.28
2026-06-30,14:39:19,Floor-1 Laptop-cam0,smoke,0.26
2026-06-30,14:39:20,Floor-1 Laptop-cam0,smoke,0.33
2026-06-30,14:40:13,Floor-1 Laptop-cam0,smoke,0.31
